,Condition de prescription ou de délivrance,DesPharma,Dosage subst,Forme pharmaceutique,Nom,Nom subst,Type de générique,Voie d'administartion,cip7,cis,prix
0,,comprimé,1 00 mg,comprimé pelliculé,ANASTROZOLE ACCORD 1 mg  comprimé pelliculé,ANASTROZOLE,,orale,4949729,60002283,30.29
1,,comprimé,168 mg,comprimé effervescent(e),RANITIDINE BIOGARAN 150 mg  comprimé effervescent,RANITIDINE (CHLORHYDRATE DE),,orale,3320863,60002504,7.15
2,,granules,2CH à 30CH et 4DH à 60DH,suspension pour inhalation par nébuliseur,BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nébuliseur,ACTAEA RACEMOSA POUR PRÉPARATIONS HOMÉOPATHIQUES,,inhalée,3696350,60003620,27.39
3,,crème,2CH à 30CH et 4DH à 60DH (crème à 4 %),gélule,FENOFIBRATE TEVA 100 mg  gélule,CURCUMA XANTHORRHIZA  DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3614582,60004277,1.54
4,,suspension,800 microgrammes,comprimé à libération prolongée,TRAMADOL EG L.P. 200 mg  comprimé à libération prolongée,DIPROPIONATE DE BÉCLOMÉTASONE,,orale,3972519,60004487,10.28
5,,gélule,100 00 mg,comprimé pelliculé,FAMOTIDINE EG 20 mg  comprimé pelliculé,FÉNOFIBRATE,,orale,3551025,60005856,7.80
6,,comprimé,200 mg,solution pour perfusion,FARMORUBICINE 200 mg/100 ml  solution pour perfusion,TRAMADOL,,intraveineuse,5614988,60006246,0
7,,comprimé,20 mg,comprimé pelliculé,ATORVASTATINE TEVA SANTE 40 mg  comprimé pelliculé,FAMOTIDINE,,orale,4944494,60007437,12.79
8,,granules,2CH à 30CH et 4DH à 60DH,gel,AFTAGEL  gel buccal,RHODODENDRON FERRUGINEUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,voie buccale autre,3637755,60007960,0
9,,solution,200 mg,solution pour perfusion,GLUCOSE BIOSEDRA 15 POUR CENT  solution pour perfusion,CHLORHYDRATE D'ÉPIRUBICINE,,intraveineuse,3236370,60008845,1.69
10,,comprimé,40 mg,gélule,RIVASTIGMINE EG 1 5 mg  gélule,ATORVASTATINE,,orale,3978723,60008927,0
11,,gel,0 5 g,comprimé pelliculé,PARACETAMOL/CODEINE TEVA 500 mg/30 mg  comprimé pelliculé,SULFATE DE ZINC,,orale,3016730,60009573,1.72
12,,solution,15 g,comprimé effervescent(e),RANITIDINE TEVA 300 mg  comprimé effervescent,GLUCOSE ANHYDRE,,orale,3602900,60009616,0
13,,gélule,1 5 mg,poudre pour solution injectable,THIOPENTAL MEDIPHA 500 mg  poudre pour solution injectable,RIVASTIGMINE,,intraveineuse,5506059,60010084,0
14,,comprimé,500 mg,solution à diluer pour perfusion,CHLORURE DE SODIUM PROAMP 0 0585 g/ml (5 85%)  solution à diluer pour perfusion,PARACÉTAMOL,,intraveineuse,3669465,60010166,0
15,,comprimé,300 mg,comprimé pelliculé,CIPROFLOXACINE RANBAXY 250 mg  comprimé pelliculé,RANITIDINE BASE,,orale,3809334,60010885,6.55
16,,poudre,,capsule molle,TERLOMEXIN 200 mg  capsule molle vaginale,THIOPENTAL ET CARBONATE SODIQUES,,vaginale,3378331,60010967,3.17
17,,solution,5 85 g,comprimé orodispersible,FAMENPAX  comprimé orodispersible,CHLORURE DE SODIUM,,sublinguale,2661711,60014894,0
18,,comprimé,250 mg,comprimé sécable pelliculé,CARVEDILOL MYLAN 25 mg  comprimé pelliculé sécable,CIPROFLOXACINE,,orale,3740594,60016308,4.23
19,,capsule,200 mg,solution injectable,LEVOCARNIL 1 g/5 ml  solution injectable en ampoule,NITRATE DE FENTICONAZOLE,,intramusculaire;intraveineuse,3657120,60016589,6.02
